Frontier,VRS_Mean,VRS_SD,VRS_Median,TGR_Median,N_Frontier
L,0.8476605894321126,0.23433481463058137,1,1,55
G,0.9013259527539726,0.14931574765094233,1,1,55
A,0.8742391271224477,0.18854508304330406,1,1,55
NA,0.839472009643691,0.23896035113048017,1,1,55
