M,L,G,A
1,0.9219838421717577,0.9276948964294889,0.9562174201032653
0.9219838421717577,1,0.9741335133003212,0.9910108641868621
0.9276948964294889,0.9741335133003212,1,0.9857121839375271
0.9562174201032653,0.9910108641868621,0.9857121839375271,1
