frontier,variable_type,variable_name,mean_slack,n_inefficient,efficiency_gap
E,Input,Feed,0.5444496863398423,34,0.16530423269121078
E,Input,Water_consumption,0.5698587317212046,34,0.16530423269121078
E,Input,Energy_consumption,8.621013663906497,34,0.16530423269121078
E,Input,Labor,0.7075752064926679,34,0.16530423269121078
E,Bad Output,Waste_water,0.5515861288441111,34,0.16530423269121078
E,Bad Output,Manure,0.40804734901553225,34,0.16530423269121078
E,Bad Output,Dead_pig,1.2584929768999433,34,0.16530423269121078
E,Bad Output,Carbon_emission,0.26201208201599546,34,0.16530423269121078
E,Bad Output,Eutrophication_potential,0,34,0.16530423269121078
L,Input,Feed,0.844680195424577,39,0.1260545140947925
L,Input,Water_consumption,0.7118985761349482,39,0.1260545140947925
L,Input,Energy_consumption,7.303863306654601,39,0.1260545140947925
L,Input,Labor,0.632199475697722,39,0.1260545140947925
L,Bad Output,Waste_water,1.106317386213475,39,0.1260545140947925
L,Bad Output,Manure,1.1173112867368067,39,0.1260545140947925
L,Bad Output,Dead_pig,0.9226277712934363,39,0.1260545140947925
L,Bad Output,Carbon_emission,1.2885622252348106,39,0.1260545140947925
L,Bad Output,Eutrophication_potential,0.0021166727892278667,39,0.1260545140947925
G,Input,Feed,2.1281779161270657,8,0.03761310050211761
G,Input,Water_consumption,0.5411844064692125,8,0.03761310050211761
G,Input,Energy_consumption,1.2558025858737893,8,0.03761310050211761
G,Input,Labor,0.3511789426043594,8,0.03761310050211761
G,Bad Output,Waste_water,2.214107972180914,8,0.03761310050211761
G,Bad Output,Manure,2.4125139103640345,8,0.03761310050211761
G,Bad Output,Dead_pig,0.3511288070350898,8,0.03761310050211761
G,Bad Output,Carbon_emission,5.860314401080224,8,0.03761310050211761
G,Bad Output,Eutrophication_potential,0.003806247117976143,8,0.03761310050211761
A,Input,Feed,0.9971214383560294,31,0.0848507034944546
A,Input,Water_consumption,0.810140731384323,31,0.0848507034944546
A,Input,Energy_consumption,9.338909202975154,31,0.0848507034944546
A,Input,Labor,0.8370205623121433,31,0.0848507034944546
A,Bad Output,Waste_water,1.2432689111940187,31,0.0848507034944546
A,Bad Output,Manure,1.3097041779586927,31,0.0848507034944546
A,Bad Output,Dead_pig,1.2829129918230924,31,0.0848507034944546
A,Bad Output,Carbon_emission,1.6243100332702756,31,0.0848507034944546
A,Bad Output,Eutrophication_potential,1.4348241811131408e-4,31,0.0848507034944546
