Metric,Value
Mean |E - A|,5.1395348837209305
Mean |L - A|,4.255813953488372
Mean |G - A|,2.116279069767442
Mean Max Change,7.77906976744186
SD Max Change,15.91033786219491
Average Correlation,0.9424473896453472
