M,L,G,A
1,0.900431364963968,0.8650024622945154,0.9401041643090678
0.900431364963968,1,0.9660406837122316,0.9885946456082065
0.8650024622945154,0.9660406837122316,1,0.9738686536497783
0.9401041643090678,0.9885946456082065,0.9738686536497783,1
