M,L,G,A
1,0.8492745411065423,0.8394508115453013,0.9255885270102103
0.8492745411065423,1,0.8747154659466393,0.9724717761673642
0.8394508115453013,0.8747154659466393,1,0.9317619590013647
0.9255885270102103,0.9724717761673642,0.9317619590013647,1
