frontier,scale_bin,variable_type,variable_name,mean_slack
G,20-50k,Bad Output,Waste_water,1.3933037045434855
G,20-50k,Input,Energy_consumption,15.027866844630525
G,20-50k,Input,Feed,0.556002282391756
G,20-50k,Input,Labor,0.9800849085388013
G,20-50k,Input,Water_consumption,0.5432840314780886
G,>50k,Bad Output,Carbon_emission,1.2791937565832285
G,>50k,Bad Output,Dead_pig,0.11576765191585472
G,>50k,Bad Output,Eutrophication_potential,0
G,>50k,Bad Output,Manure,0
G,>50k,Bad Output,Waste_water,0.02838261149102826
G,>50k,Input,Energy_consumption,0.43350170288851303
G,>50k,Input,Feed,1.0046544287445722
G,>50k,Input,Labor,0.07432098410109972
G,>50k,Input,Water_consumption,0.11246823595688529
L,<5k,Bad Output,Carbon_emission,0.016571207329795716
L,<5k,Bad Output,Dead_pig,0.08030290369008479
L,<5k,Bad Output,Eutrophication_potential,0.005395156061829139
L,<5k,Bad Output,Manure,0.04896941920124861
L,<5k,Bad Output,Waste_water,0.11558097477645224
L,<5k,Input,Energy_consumption,0.13112228362579434
L,<5k,Input,Feed,0.0874782376020198
L,<5k,Input,Labor,0.11143094953750919
L,<5k,Input,Water_consumption,0.1118755148114919
L,5-10k,Bad Output,Carbon_emission,5.298804348970102e-4
L,5-10k,Bad Output,Dead_pig,0.04944617487316439
L,5-10k,Bad Output,Eutrophication_potential,9.546457955586565e-5
L,5-10k,Bad Output,Manure,0.06610944248110129
L,5-10k,Bad Output,Waste_water,0.04535949350130636
L,5-10k,Input,Energy_consumption,0.0754010904471778
L,5-10k,Input,Feed,0.08412785009969004
L,5-10k,Input,Labor,0.06830517185710565
L,5-10k,Input,Water_consumption,0.04957189051236306
L,10-20k,Bad Output,Carbon_emission,0.020472504201446036
L,10-20k,Bad Output,Dead_pig,0.9703606057293533
L,10-20k,Bad Output,Eutrophication_potential,0
L,10-20k,Bad Output,Manure,0.15095649343537573
L,10-20k,Bad Output,Waste_water,0.180938484708205
L,10-20k,Input,Energy_consumption,0.36313442109650773
L,10-20k,Input,Feed,0.22561319709594707
L,10-20k,Input,Labor,0.3326547493127207
L,10-20k,Input,Water_consumption,0.32532736040138566
L,20-50k,Bad Output,Carbon_emission,1.6602365342218153
L,20-50k,Bad Output,Dead_pig,0.8193129429872432
L,20-50k,Bad Output,Eutrophication_potential,0
L,20-50k,Bad Output,Manure,1.8732060299016717
L,20-50k,Bad Output,Waste_water,1.6988020343198913
L,20-50k,Input,Energy_consumption,14.530742319556914
L,20-50k,Input,Feed,0.5507040214744064
L,20-50k,Input,Labor,0.8355074161556981
L,20-50k,Input,Water_consumption,0.7924725356231631
L,>50k,Bad Output,Carbon_emission,1.1505535451637188
L,>50k,Bad Output,Dead_pig,0.07252338944051961
L,>50k,Bad Output,Eutrophication_potential,0
L,>50k,Bad Output,Manure,0.2036031518211596
L,>50k,Bad Output,Waste_water,0.31923191462819367
L,>50k,Input,Energy_consumption,0
L,>50k,Input,Feed,0.973529131351696
L,>50k,Input,Labor,0.030531048426072592
L,>50k,Input,Water_consumption,0.2682070181807444
