obs_id,market_pig,market_pig_original,log_scale,size_class,Report_year,Scale-up,No.,E_TE_VRS,E_TE_CRS,E_SE,L_TE_VRS,L_TE_CRS,L_SE,G_TE_VRS,G_TE_CRS,G_SE,A_TE_VRS,A_TE_CRS,A_SE
1,0.18867924528301888,2500,3.3979400086720375,Small,2019,0,F1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.2188679245283019,2900,3.462397997898956,Small,2023,0,F12,1,0.32776538852275466,0.32776538852275466,1,0.25383224020836004,0.25383224020836004,1,0.5187730511136469,0.5187730511136469,1,0.37937819121856803,0.37937819121856803
3,0.27169811320754716,3600,3.5563025007672873,Small,2022,0,F4,1,0.48092033738844403,0.48092033738844403,1,0.3859411819406664,0.3859411819406664,1,0.6230907247976468,0.6230907247976468,1,0.5169080516006138,0.5169080516006138
4,0.27169811320754716,3600,3.5563025007672873,Small,2024,0,F13,1,0.43397056512236615,0.43397056512236615,1,0.29099851485473616,0.29099851485473616,1,0.5301751651518933,0.5301751651518933,1,0.41702850109909456,0.41702850109909456
5,0.29147169811320756,3862,3.5868122694433757,Small,2023,N/A,F2,0.3305701622565849,0.24555359719489667,0.7428183944935135,0.35556952738406633,0.17811901192857843,0.5009400362258384,0.5756341798947804,0.46872854681585463,0.8142819922568411,0.4485541864358214,0.3152930370191718,0.702909584958881
6,0.3018867924528302,4000,3.6020599913279625,Small,2022,0,F24,0.9999999999994377,0.3814602810244334,0.3814602810246479,1,0.5824976055616755,0.5824976055616755,0.9999999999994377,0.6771671086064927,0.6771671086068735,1,0.5684116290543608,0.5684116290543608
7,0.34883018867924526,4622,3.6648299411430907,Small,2024,0,F29,0.35057842586783666,0.29821438783754756,0.8506353096296073,0.5263180080690115,0.41072876402899294,0.780381362089244,0.750198623820437,0.6028913573588243,0.8036423131364324,0.5765648729363934,0.46055829876182397,0.7987970137969761
8,0.3622641509433962,4800,3.681241237375587,Small,2020,0,F14,0.655748772453287,0.49472235653025737,0.7544388602961501,0.6941921305604768,0.30183607192897777,0.434801921026217,0.734206462260477,0.4944444762755419,0.6734406487696183,0.756115948437184,0.4600228059402707,0.6084024637902319
9,0.3622641509433962,4800,3.681241237375587,Small,2021,0,F21,0.9999999999992307,0.5637546529090227,0.5637546529094564,0.9999999999992304,0.6613052880839833,0.6613052880844922,0.9999999999992307,0.7147944289209458,0.7147944289214957,0.9999999999992307,0.6554812779230462,0.6554812779235505
10,0.3622641509433962,4800,3.681241237375587,Small,2024,0,F45,1,0.9999999999992305,0.9999999999992305,0.9999999999992304,0.9999999999992305,1.0000000000000002,0.9999999999992304,0.9999999999992304,1,0.9999999999992304,1,1.0000000000007696
11,0.3622641509433962,4800,3.681241237375587,Small,2024,0,F46,1,0.8099574671120062,0.8099574671120062,0.9999999999992304,0.44307248503724894,0.44307248503758995,1,0.7370446201042444,0.7370446201042444,1,0.6500197115176977,0.6500197115176977
12,0.36377358490566036,4820,3.6830470382388496,Small,2022,0,F3,1,0.9326355226784095,0.9326355226784095,1,0.7829921351336409,0.7829921351336409,1,0.8680311757560947,0.8680311757560947,1,0.8483040635794449,0.8483040635794449
13,0.36981132075471695,4900,3.690196080028514,Small,2023,0,F31,0.7582621554140974,0.6513676695339439,0.8590270065347295,0.34942447856648556,0.34842348039092347,0.9971352946431552,0.7322267980477077,0.5289224905663933,0.7223479009189878,0.5867605433298992,0.5596164612517571,0.9537390808112319
14,0.37358490566037733,4950,3.694605198933569,Small,2024,0,F33,0.47886972144981954,0.38012044100376313,0.7937867523820792,0.5384923001584462,0.37693630447971305,0.699984576137492,0.6443691245148611,0.5623451897013598,0.8727066029502015,0.5836365032129612,0.4815120486829158,0.8250204468571741
15,0.3772075471698113,4998,3.6987962517904314,Small,2024,0,F9,1,0.5781673178455455,0.5781673178455455,1,0.47642625257918414,0.47642625257918414,1,0.6614876126118103,0.6614876126118103,1,0.5892358503540042,0.5892358503540042
16,0.37735849056603776,5000,3.6989700043360187,Small,2024,0,F48,1,1,1,1,1,1,1,1,1,1,1,1
17,0.39245283018867927,5200,3.716003343634799,Small,2021,0,F28,0.36773633096728053,0.31146493091125615,0.8469789484546982,0.37244261881119833,0.29725497102092596,0.7981228678117874,0.5923031382050796,0.5003656224434224,0.8447796240954161,0.507940846066074,0.4008369203103508,0.7891409470507695
18,0.4528301886792453,6000,3.7781512503836434,Small,2023,1,F3,1,1,1,1,1,1,1,1,1,1,1,1
19,0.4528301886792453,6000,3.7781512503836434,Small,2025,N/A,F11,1,1,1,1,1,1,1,1,1,1,1,1
20,0.5169811320754717,6850,3.8356905714924254,Small,2025,N/A,F6,1,0.5348752706126589,0.5348752706126589,1,0.5395153663285106,0.5395153663285106,1,0.7395317092576449,0.7395317092576449,1,0.6357823435007536,0.6357823435007536
21,0.5283018867924528,7000,3.845098040014257,Small,2021,0,F30,1,0.5366314170866383,0.5366314170866383,1,0.6811051594614971,0.6811051594614971,1,0.8084004011114315,0.8084004011114315,1,0.7022934978055221,0.7022934978055221
22,0.5283018867924528,7000,3.845098040014257,Small,2023,1,F4,1,0.8095411432364096,0.8095411432364096,1,0.7560909787376918,0.7560909787376918,1,0.8017361389787911,0.8017361389787911,1,0.7944559485609098,0.7944559485609098
23,0.5735849056603773,7600,3.8808135922807914,Small,2024,0,F47,1,0.5962946475465347,0.5962946475465347,1,0.6167639955212815,0.6167639955212815,1,0.7054486976278397,0.7054486976278397,1,0.639598332586226,0.639598332586226
24,0.5886792452830188,7800,3.8920946026904804,Small,2018,0,F50,0.4921266629287556,0.36568599213726016,0.7430729112724379,0.5388631071567889,0.33471672209533443,0.6211535316667067,0.8233438180461076,0.6816550991027395,0.8279106299970622,0.6661759485475598,0.4965371516103113,0.7453543657541134
25,0.6037735849056604,8000,3.9030899869919438,Small,2020,N/A,F5,1,0.5565274169027765,0.5565274169027765,0.9999999999994377,0.6181216389471702,0.6181216389475178,1,0.8420805998941772,0.8420805998941772,1,0.7025368570982093,0.7025368570982093
